rank,city,state,population,2000-2013 growth
137,Oceanside,California,172794,6.6%
138,Jackson,Mississippi,172638,-6.8%
139,Fort Lauderdale,Florida,172389,0.7%
140,Santa Rosa,California,171990,15.2%
141,Rancho Cucamonga,California,171386,32.7%
142,Port St. Lucie,Florida,171016,91.7%
143,Tempe,Arizona,168228,5.8%
144,Ontario,California,167500,5.5%
145,Vancouver,Washington,167405,14.2%
146,Cape Coral,Florida,165831,60.4%
147,Sioux Falls,South Dakota,164676,31.1%
148,Springfield,Missouri,164122,7.8%
149,Peoria,Arizona,162592,46.5%
150,Pembroke Pines,Florida,162329,17.4%
151,Elk Grove,California,161007,97.1%
152,Salem,Oregon,160614,16.4%
153,Lancaster,California,159523,33.8%
154,Corona,California,159503,23.6%
155,Eugene,Oregon,159190,14.4%
156,Palmdale,California,157161,33.7%
157,Salinas,California,155662,8.4%
158,Springfield,Massachusetts,153703,1.1%
159,Pasadena,Texas,152735,7.5%
160,Fort Collins,Colorado,152061,26.6%
161,Hayward,California,151574,7.5%
162,Pomona,California,151348,2.1%
163,Cary,North Carolina,151088,55.1%
164,Rockford,Illinois,150251,-1.0%
165,Alexandria,Virginia,148892,15.0%
166,Escondido,California,148738,10.7%
167,McKinney,Texas,148559,165.3%
168,Kansas City,Kansas,148483,1.1%
169,Joliet,Illinois,147806,36.5%
170,Sunnyvale,California,147559,11.9%
171,Torrance,California,147478,6.6%
172,Bridgeport,Connecticut,147216,5.4%
173,Lakewood,Colorado,147214,1.9%
174,Hollywood,Florida,146526,4.8%
175,Paterson,New Jersey,145948,-2.2%
176,Naperville,Illinois,144864,12.0%
177,Syracuse,New York,144669,-0.9%
178,Mesquite,Texas,143484,14.7%
179,Dayton,Ohio,143355,-13.5%
180,Savannah,Georgia,142772,7.5%
181,Clarksville,Tennessee,142357,36.9%
182,Orange,California,139969,7.7%
183,Pasadena,California,139731,3.8%
184,Fullerton,California,138981,9.8%
185,Killeen,Texas,137147,52.1%
186,Frisco,Texas,136791,287.7%
187,Hampton,Virginia,136699,-6.6%
188,McAllen,Texas,136639,27.6%
189,Warren,Michigan,134873,-2.3%
190,Bellevue,Washington,133992,19.1%
191,West Valley City,Utah,133579,22.2%
192,Columbia,South Carolina,133358,11.7%
193,Olathe,Kansas,131885,40.4%
194,Sterling Heights,Michigan,131224,5.2%
195,New Haven,Connecticut,130660,5.5%
196,Miramar,Florida,130288,74.7%
197,Waco,Texas,129030,12.5%
198,Thousand Oaks,California,128731,9.5%
199,Cedar Rapids,Iowa,128429,5.4%
200,Charleston,South Carolina,127999,29.2%
201,Visalia,California,127763,33.6%
202,Topeka,Kansas,127679,3.4%
203,Elizabeth,New Jersey,127558,5.5%
204,Gainesville,Florida,127488,12.8%
205,Thornton,Colorado,127359,52.9%
206,Roseville,California,127035,56.2%
207,Carrollton,Texas,126700,14.9%
208,Coral Springs,Florida,126604,5.7%
209,Stamford,Connecticut,126456,7.6%
210,Simi Valley,California,126181,12.6%
211,Concord,California,125880,2.9%
212,Hartford,Connecticut,125017,0.6%
213,Kent,Washington,124435,54.3%
214,Lafayette,Louisiana,124276,11.0%
215,Midland,Texas,123933,30.4%
216,Surprise,Arizona,123546,281.9%
217,Denton,Texas,123099,47.1%
218,Victorville,California,121096,87.6%
219,Evansville,Indiana,120310,-0.8%
220,Santa Clara,California,120245,17.4%
221,Abilene,Texas,120099,3.6%
222,Athens-Clarke County,Georgia,119980,19.0%
223,Vallejo,California,118837,1.2%
224,Allentown,Pennsylvania,118577,11.2%
225,Norman,Oklahoma,118197,22.0%
226,Beaumont,Texas,117796,3.7%
227,Independence,Missouri,117240,3.2%
228,Murfreesboro,Tennessee,117044,65.1%
229,Ann Arbor,Michigan,117025,2.0%
230,Springfield,Illinois,117006,4.2%
231,Berkeley,California,116768,13.3%
232,Peoria,Illinois,116513,3.0%
233,Provo,Utah,116288,10.0%
234,El Monte,California,115708,-0.4%
235,Columbia,Missouri,115276,34.0%
236,Lansing,Michigan,113972,-4.4%
237,Fargo,North Dakota,113658,24.9%
238,Downey,California,113242,5.3%
239,Costa Mesa,California,112174,2.4%
240,Wilmington,North Carolina,112067,24.8%
241,Arvada,Colorado,111707,9.2%
242,Inglewood,California,111542,-1.0%
243,Miami Gardens,Florida,111378,10.5%
244,Carlsbad,California,110972,39.7%
245,Westminster,Colorado,110945,9.4%
246,Rochester,Minnesota,110742,23.9%
247,Odessa,Texas,110720,22.3%
248,Manchester,New Hampshire,110378,2.9%
249,Elgin,Illinois,110145,16.0%
250,West Jordan,Utah,110077,38.4%
251,Round Rock,Texas,109821,81.0%
252,Clearwater,Florida,109703,0.1%
253,Waterbury,Connecticut,109676,2.2%
254,Gresham,Oregon,109397,20.7%
255,Fairfield,California,109320,12.8%
256,Billings,Montana,109059,18.6%
257,Lowell,Massachusetts,108861,3.4%
258,San Buenaventura (Ventura),California,108817,7.4%
259,Pueblo,Colorado,108249,5.9%
260,High Point,North Carolina,107741,24.3%
261,West Covina,California,107740,2.3%
262,Richmond,California,107571,7.9%
263,Murrieta,California,107479,107.4%
264,Cambridge,Massachusetts,107289,5.5%
265,Antioch,California,107100,16.9%
266,Temecula,California,106780,55.4%
267,Norwalk,California,106589,1.9%
268,Centennial,Colorado,106114,3.5%
269,Everett,Washington,105370,9.4%
270,Palm Bay,Florida,104898,31.7%
271,Wichita Falls,Texas,104898,0.7%
272,Green Bay,Wisconsin,104779,1.9%
273,Daly City,California,104739,1.0%
274,Burbank,California,104709,4.2%
275,Richardson,Texas,104475,13.2%
276,Pompano Beach,Florida,104410,4.0%
277,North Charleston,South Carolina,104054,27.4%
278,Broken Arrow,Oklahoma,103500,28.2%
279,Boulder,Colorado,103166,9.0%
280,West Palm Beach,Florida,102436,23.5%
281,Santa Maria,California,102216,30.9%
282,El Cajon,California,102211,7.4%
283,Davenport,Iowa,102157,3.9%
284,Rialto,California,101910,9.8%
285,Las Cruces,New Mexico,101324,37.6%
286,San Mateo,California,101128,9.0%
287,Lewisville,Texas,101074,28.9%
288,South Bend,Indiana,100886,-6.8%
289,Lakeland,Florida,100710,18.3%
290,Erie,Pennsylvania,100671,-2.8%
291,Tyler,Texas,100223,18.6%
292,Pearland,Texas,100065,117.2%
293,College Station,Texas,100050,45.2%
294,Kenosha,Wisconsin,99889,9.5%
295,Sandy Springs,Georgia,99770,17.4%
296,Clovis,California,99769,42.6%
297,Flint,Michigan,99763,-20.0%
298,Roanoke,Virginia,98465,3.8%
299,Albany,New York,98424,4.1%
300,Jurupa Valley,California,98030,
301,Compton,California,97877,4.5%
302,San Angelo,Texas,97492,10.2%
303,Hillsboro,Oregon,97368,36.4%
304,Lawton,Oklahoma,97151,4.9%
305,Renton,Washington,97003,88.4%
306,Vista,California,96929,7.7%
307,Davie,Florida,96830,17.7%
308,Greeley,Colorado,96539,23.1%
309,Mission Viejo,California,96346,2.9%
310,Portsmouth,Virginia,96205,-4.2%
311,Dearborn,Michigan,95884,-2.0%
312,South Gate,California,95677,-0.8%
313,Tuscaloosa,Alabama,95334,21.1%
314,Livonia,Michigan,95208,-5.4%
315,New Bedford,Massachusetts,95078,1.2%
316,Vacaville,California,94275,5.4%
317,Brockton,Massachusetts,94089,-0.3%
318,Roswell,Georgia,94034,15.2%
319,Beaverton,Oregon,93542,17.0%
320,Quincy,Massachusetts,93494,5.8%
321,Sparks,Nevada,93282,39.4%
322,Yakima,Washington,93257,11.7%
323,Lee's Summit,Missouri,93184,31.2%
324,Federal Way,Washington,92734,8.8%
325,Carson,California,92599,2.9%
326,Santa Monica,California,92472,9.6%
327,Hesperia,California,92147,46.1%
328,Allen,Texas,92020,104.0%
329,Rio Rancho,New Mexico,91956,74.4%
330,Yuma,Arizona,91923,16.2%
331,Westminster,California,91739,3.9%
332,Orem,Utah,91648,8.5%
333,Lynn,Massachusetts,91589,2.6%
334,Redding,California,91119,11.9%
335,Spokane Valley,Washington,91113,12.6%
336,Miami Beach,Florida,91026,3.3%
337,League City,Texas,90983,98.3%
338,Lawrence,Kansas,90811,12.7%
339,Santa Barbara,California,90412,0.9%
340,Plantation,Florida,90268,8.6%
341,Sandy,Utah,90231,1.3%
342,Sunrise,Florida,90116,4.6%
343,Macon,Georgia,89981,-7.3%
344,Longmont,Colorado,89919,24.4%
345,Boca Raton,Florida,89407,7.5%
346,San Marcos,California,89387,60.0%
347,Greenville,North Carolina,89130,41.9%
348,Waukegan,Illinois,88826,0.5%
349,Fall River,Massachusetts,88697,-3.7%
350,Chico,California,88077,14.2%
351,Newton,Massachusetts,87971,4.9%
352,San Leandro,California,87965,10.3%
353,Reading,Pennsylvania,87893,8.0%
354,Norwalk,Connecticut,87776,5.6%
355,Fort Smith,Arkansas,87650,8.6%
356,Newport Beach,California,87273,10.4%
357,Asheville,North Carolina,87236,19.6%
358,Nashua,New Hampshire,87137,0.4%
359,Edmond,Oklahoma,87004,26.9%
360,Whittier,California,86635,3.3%
361,Nampa,Idaho,86518,57.9%
362,Bloomington,Minnesota,86319,1.3%
363,Deltona,Florida,86290,23.1%
364,Hawthorne,California,86199,2.3%
365,Duluth,Minnesota,86128,-0.1%
366,Carmel,Indiana,85927,60.4%
367,Suffolk,Virginia,85728,33.5%
368,Clifton,New Jersey,85390,7.9%
369,Citrus Heights,California,85285,-0.1%
370,Livermore,California,85156,15.1%
371,Tracy,California,84691,45.9%
372,Alhambra,California,84577,-0.7%
373,Kirkland,Washington,84430,87.5%
374,Trenton,New Jersey,84349,-1.2%
375,Ogden,Utah,84249,8.6%
376,Hoover,Alabama,84126,32.7%
377,Cicero,Illinois,84103,-1.6%
378,Fishers,Indiana,83891,114.8%
379,Sugar Land,Texas,83860,29.1%
380,Danbury,Connecticut,83684,11.4%
381,Meridian,Idaho,83596,127.6%
382,Indio,California,83539,66.0%
383,Concord,North Carolina,83506,47.4%
384,Menifee,California,83447,95.0%
385,Champaign,Illinois,83424,18.3%
386,Buena Park,California,82882,6.1%
387,Troy,Michigan,82821,2.2%
388,O'Fallon,Missouri,82809,62.6%
389,Johns Creek,Georgia,82788,36.5%
390,Bellingham,Washington,82631,21.8%
391,Westland,Michigan,82578,-4.7%
392,Bloomington,Indiana,82575,16.1%
393,Sioux City,Iowa,82459,-2.9%
394,Warwick,Rhode Island,81971,-4.6%
395,Hemet,California,81750,37.6%
396,Longview,Texas,81443,11.6%
397,Farmington Hills,Michigan,81295,-0.9%
398,Bend,Oregon,81236,54.3%
399,Lakewood,California,81121,2.1%
400,Merced,California,81102,25.4%
401,Mission,Texas,81050,74.5%
402,Chino,California,80988,15.6%
403,Redwood City,California,80872,7.1%
404,Edinburg,Texas,80836,65.1%
405,Cranston,Rhode Island,80566,1.4%
406,Parma,Ohio,80429,-5.9%
407,New Rochelle,New York,79446,9.9%
408,Lake Forest,California,79312,4.2%
409,Napa,California,79068,8.4%
410,Hammond,Indiana,78967,-4.6%
411,Fayetteville,Arkansas,78960,32.9%
412,Bloomington,Illinois,78902,20.1%
413,Avondale,Arizona,78822,111.5%
414,Somerville,Massachusetts,78804,1.6%
415,Palm Coast,Florida,78740,137.2%
416,Bryan,Texas,78709,19.3%
417,Gary,Indiana,78450,-23.4%
418,Largo,Florida,78409,5.1%
419,Brooklyn Park,Minnesota,78373,16.0%
420,Tustin,California,78327,15.6%
421,Racine,Wisconsin,78199,-4.4%
422,Deerfield Beach,Florida,78041,4.8%
423,Lynchburg,Virginia,78014,19.5%
424,Mountain View,California,77846,10.1%
425,Medford,Oregon,77677,17.1%
426,Lawrence,Massachusetts,77657,7.5%
427,Bellflower,California,77593,6.3%
428,Melbourne,Florida,77508,5.9%
429,St. Joseph,Missouri,77147,4.1%
430,Camden,New Jersey,76903,-3.6%
431,St. George,Utah,76817,53.1%
432,Kennewick,Washington,76762,29.1%
433,Baldwin Park,California,76635,0.8%
434,Chino Hills,California,76572,13.6%
435,Alameda,California,76419,5.4%
436,Albany,Georgia,76185,-0.6%
437,Arlington Heights,Illinois,75994,-0.6%
438,Scranton,Pennsylvania,75806,0.0%
439,Evanston,Illinois,75570,1.9%
440,Kalamazoo,Michigan,75548,-1.9%
441,Baytown,Texas,75418,13.1%
442,Upland,California,75413,9.5%
443,Springdale,Arkansas,75229,57.1%
444,Bethlehem,Pennsylvania,75018,5.2%
445,Schaumburg,Illinois,74907,-0.5%
446,Mount Pleasant,South Carolina,74885,53.2%
447,Auburn,Washington,74860,34.9%
448,Decatur,Illinois,74710,-8.7%
449,San Ramon,California,74513,65.8%
450,Pleasanton,California,74110,15.2%
451,Wyoming,Michigan,74100,6.5%
452,Lake Charles,Louisiana,74024,3.0%
453,Plymouth,Minnesota,73987,12.0%
454,Bolingbrook,Illinois,73936,29.7%
455,Pharr,Texas,73790,55.7%
456,Appleton,Wisconsin,73596,4.5%
457,Gastonia,North Carolina,73209,8.2%
458,Folsom,California,73098,38.6%
459,Southfield,Michigan,73006,-6.7%
460,Rochester Hills,Michigan,72952,5.7%
461,New Britain,Connecticut,72939,1.9%
462,Goodyear,Arizona,72864,271.0%
463,Canton,Ohio,72535,-10.3%
464,Warner Robins,Georgia,72531,45.7%
465,Union City,California,72528,7.4%
466,Perris,California,72326,98.7%
467,Manteca,California,71948,42.7%
468,Iowa City,Iowa,71591,13.8%
469,Jonesboro,Arkansas,71551,28.3%
470,Wilmington,Delaware,71525,-1.6%
471,Lynwood,California,71371,2.0%
472,Loveland,Colorado,71334,37.4%
473,Pawtucket,Rhode Island,71172,-2.5%
474,Boynton Beach,Florida,71097,17.3%
475,Waukesha,Wisconsin,71016,8.0%
476,Gulfport,Mississippi,71012,-0.6%
477,Apple Valley,California,70924,29.9%
478,Passaic,New Jersey,70868,4.3%
479,Rapid City,South Dakota,70812,17.9%
480,Layton,Utah,70790,20.2%
481,Lafayette,Indiana,70373,14.5%
482,Turlock,California,70365,23.5%
483,Muncie,Indiana,70316,-0.7%
484,Temple,Texas,70190,27.1%
485,Missouri City,Texas,70185,31.1%
486,Redlands,California,69999,9.4%
487,Santa Fe,New Mexico,69976,10.5%
488,Lauderhill,Florida,69813,4.2%
489,Milpitas,California,69783,11.0%
490,Palatine,Illinois,69350,4.5%
491,Missoula,Montana,69122,19.7%
492,Rock Hill,South Carolina,69103,36.0%
493,Jacksonville,North Carolina,69079,5.0%
494,Franklin,Tennessee,68886,48.5%
495,Flagstaff,Arizona,68667,29.3%
496,Flower Mound,Texas,68609,32.5%
497,Weston,Florida,68388,34.5%
498,Waterloo,Iowa,68366,-0.5%
499,Union City,New Jersey,68247,1.7%
500,Mount Vernon,New York,68224,-0.2%
501,Fort Myers,Florida,68190,31.2%
502,Dothan,Alabama,68001,16.6%
503,Rancho Cordova,California,67911,26.4%
504,Redondo Beach,California,67815,6.7%
505,Jackson,Tennessee,67685,12.9%
506,Pasco,Washington,67599,98.5%
507,St. Charles,Missouri,67569,11.3%
508,Eau Claire,Wisconsin,67545,8.7%
509,North Richland Hills,Texas,67317,20.2%
510,Bismarck,North Dakota,67034,20.1%
511,Yorba Linda,California,67032,13.4%
512,Kenner,Louisiana,66975,-4.8%
513,Walnut Creek,California,66900,3.5%
514,Frederick,Maryland,66893,25.9%
515,Oshkosh,Wisconsin,66778,5.3%
516,Pittsburg,California,66695,16.6%
517,Palo Alto,California,66642,13.7%
518,Bossier City,Louisiana,66333,17.4%
519,Portland,Maine,66318,3.2%
520,St. Cloud,Minnesota,66297,10.9%
521,Davis,California,66205,11.9%
522,South San Francisco,California,66174,9.1%
523,Camarillo,California,66086,14.9%
524,North Little Rock,Arkansas,66075,9.0%
525,Schenectady,New York,65902,6.7%
526,Gaithersburg,Maryland,65690,24.2%
527,Harlingen,Texas,65665,11.6%
528,Woodbury,Minnesota,65656,39.8%
529,Eagan,Minnesota,65453,2.6%
530,Yuba City,California,65416,27.9%
531,Maple Grove,Minnesota,65415,27.3%
532,Youngstown,Ohio,65184,-20.2%
533,Skokie,Illinois,65176,2.8%
534,Kissimmee,Florida,65173,32.6%
535,Johnson City,Tennessee,65123,16.2%
536,Victoria,Texas,65098,7.5%
537,San Clemente,California,65040,28.6%
538,Bayonne,New Jersey,65028,5.1%
539,Laguna Niguel,California,64652,2.8%
540,East Orange,New Jersey,64544,-7.4%
541,Shawnee,Kansas,64323,32.2%
542,Homestead,Florida,64079,100.7%
544,Rockville,Maryland,64072,34.0%
543,Delray Beach,Florida,64072,6.1%
545,Janesville,Wisconsin,63820,5.6%
546,Conway,Arkansas,63816,46.1%
547,Pico Rivera,California,63771,0.4%
548,Lorain,Ohio,63710,-7.2%
549,Montebello,California,63495,2.0%
550,Lodi,California,63338,10.1%
551,New Braunfels,Texas,63279,64.0%
552,Marysville,Washington,63269,115.7%
553,Tamarac,Florida,63155,12.9%
554,Madera,California,63105,44.4%
555,Conroe,Texas,63032,61.9%
556,Santa Cruz,California,62864,12.5%
557,Eden Prairie,Minnesota,62603,13.3%
558,Cheyenne,Wyoming,62448,16.9%
559,Daytona Beach,Florida,62316,-2.3%
560,Alpharetta,Georgia,62298,33.6%
561,Hamilton,Ohio,62258,2.7%
562,Waltham,Massachusetts,62227,5.0%
563,Coon Rapids,Minnesota,62103,0.6%
564,Haverhill,Massachusetts,62088,5.0%
565,Council Bluffs,Iowa,61969,6.2%
566,Taylor,Michigan,61817,-6.3%
567,Utica,New York,61808,2.2%
568,Ames,Iowa,61792,21.3%
569,La Habra,California,61653,3.6%
570,Encinitas,California,61588,5.8%
571,Bowling Green,Kentucky,61488,24.1%
572,Burnsville,Minnesota,61434,1.9%
573,Greenville,South Carolina,61397,8.2%
574,West Des Moines,Iowa,61255,29.8%
575,Cedar Park,Texas,61238,134.3%
576,Tulare,California,61170,33.3%
577,Monterey Park,California,61085,1.5%
578,Vineland,New Jersey,61050,9.3%
579,Terre Haute,Indiana,61025,2.5%
580,North Miami,Florida,61007,2.0%
581,Mansfield,Texas,60872,114.2%
582,West Allis,Wisconsin,60697,-0.6%
583,Bristol,Connecticut,60568,0.4%
584,Taylorsville,Utah,60519,2.9%
585,Malden,Massachusetts,60509,7.4%
586,Meriden,Connecticut,60456,3.7%
587,Blaine,Minnesota,60407,32.8%
588,Wellington,Florida,60202,55.0%
589,Cupertino,California,60189,14.3%
590,Springfield,Oregon,60177,12.4%
591,Rogers,Arkansas,60112,50.6%
592,St. Clair Shores,Michigan,60070,-4.6%
593,Gardena,California,59957,3.4%
594,Pontiac,Michigan,59887,-11.4%
595,National City,California,59834,10.1%
596,Grand Junction,Colorado,59778,30.9%
597,Rocklin,California,59738,60.3%
598,Chapel Hill,North Carolina,59635,24.1%
599,Casper,Wyoming,59628,19.9%
600,Broomfield,Colorado,59471,50.3%
601,Petaluma,California,59440,8.4%
602,South Jordan,Utah,59366,100.1%
603,Springfield,Ohio,59357,-9.8%
604,Great Falls,Montana,59351,3.9%
605,Lancaster,Pennsylvania,59325,4.5%
606,North Port,Florida,59212,154.6%
607,Lakewood,Washington,59097,1.1%
608,Marietta,Georgia,59089,-3.8%
609,San Rafael,California,58994,5.0%
610,Royal Oak,Michigan,58946,-1.7%
611,Des Plaines,Illinois,58918,3.2%
612,Huntington Park,California,58879,-4.1%
613,La Mesa,California,58642,6.9%
614,Orland Park,Illinois,58590,13.9%
615,Auburn,Alabama,58582,26.4%
616,Lakeville,Minnesota,58562,34.3%
617,Owensboro,Kentucky,58416,7.7%
618,Moore,Oklahoma,58414,41.5%
619,Jupiter,Florida,58298,46.2%
620,Idaho Falls,Idaho,58292,14.0%
621,Dubuque,Iowa,58253,0.9%
622,Bartlett,Tennessee,58226,31.7%
623,Rowlett,Texas,58043,28.6%
624,Novi,Michigan,57960,22.0%
625,White Plains,New York,57866,8.5%
626,Arcadia,California,57639,8.3%
627,Redmond,Washington,57530,26.0%
628,Lake Elsinore,California,57525,96.5%
629,Ocala,Florida,57468,20.8%
630,Tinley Park,Illinois,57282,16.3%
631,Port Orange,Florida,57203,22.8%
632,Medford,Massachusetts,57170,2.7%
633,Oak Lawn,Illinois,57073,3.3%
634,Rocky Mount,North Carolina,56954,-3.1%
635,Kokomo,Indiana,56895,21.3%
636,Coconut Creek,Florida,56792,28.4%
637,Bowie,Maryland,56759,8.6%
638,Berwyn,Illinois,56758,5.1%
639,Midwest City,Oklahoma,56756,4.5%
640,Fountain Valley,California,56707,3.0%
641,Buckeye,Arizona,56683,480.9%
642,Dearborn Heights,Michigan,56620,-3.0%
643,Woodland,California,56590,13.8%
644,Noblesville,Indiana,56540,88.1%
645,Valdosta,Georgia,56481,22.3%
646,Diamond Bar,California,56449,0.1%
647,Manhattan,Kansas,56143,22.8%
648,Santee,California,56105,5.7%
649,Taunton,Massachusetts,56069,0.0%
650,Sanford,Florida,56002,42.8%
651,Kettering,Ohio,55870,-3.1%
652,New Brunswick,New Jersey,55831,15.5%
653,Decatur,Alabama,55816,3.1%
654,Chicopee,Massachusetts,55717,1.7%
655,Anderson,Indiana,55670,-6.6%
656,Margate,Florida,55456,2.7%
657,Weymouth Town,Massachusetts,55419,
658,Hempstead,New York,55361,4.0%
659,Corvallis,Oregon,55298,11.8%
660,Eastvale,California,55191,
661,Porterville,California,55174,20.1%
662,West Haven,Connecticut,55046,5.1%
663,Brentwood,California,55000,122.3%
664,Paramount,California,54980,-0.7%
665,Grand Forks,North Dakota,54932,11.5%
666,Georgetown,Texas,54898,91.9%
667,St. Peters,Missouri,54842,6.5%
668,Shoreline,Washington,54790,2.9%
669,Mount Prospect,Illinois,54771,-2.5%
670,Hanford,California,54686,30.3%
671,Normal,Illinois,54664,19.7%
672,Rosemead,California,54561,1.7%
673,Lehi,Utah,54382,176.3%
674,Pocatello,Idaho,54350,5.4%
675,Highland,California,54291,21.0%
676,Novato,California,54194,13.3%
677,Port Arthur,Texas,54135,-6.0%
678,Carson City,Nevada,54080,2.9%
679,San Marcos,Texas,54076,48.5%
680,Hendersonville,Tennessee,54068,31.7%
681,Elyria,Ohio,53956,-3.7%
682,Revere,Massachusetts,53756,13.4%
683,Pflugerville,Texas,53752,123.4%
684,Greenwood,Indiana,53665,46.0%
685,Bellevue,Nebraska,53663,20.5%
686,Wheaton,Illinois,53648,-3.4%
687,Smyrna,Georgia,53438,20.0%
